 Sample #,Start Time,Thread Name,Label,Sample Time (ms),Status,Bytes,Sent Bytes,Latency,Connect Time (ms)
461,52:40.6,Thread Group 1-92,HTTP Request,390,Success,19902,116,364,98
462,52:40.8,Thread Group 1-93,HTTP Request,206,Success,19902,116,166,112
463,52:41.1,Thread Group 1-93,HTTP Request,168,Success,19902,116,133,86
464,52:41.0,Thread Group 1-92,HTTP Request,380,Success,19902,116,353,90
465,52:41.2,Thread Group 1-93,HTTP Request,178,Success,19902,116,143,97
466,52:41.1,Thread Group 1-94,HTTP Request,381,Success,19902,116,343,80
467,52:41.7,Thread Group 1-95,HTTP Request,169,Success,19902,116,137,88
468,52:41.4,Thread Group 1-94,HTTP Request,410,Success,19902,116,374,102
469,52:41.8,Thread Group 1-95,HTTP Request,157,Success,19902,116,118,80
470,52:41.9,Thread Group 1-94,HTTP Request,169,Success,19902,116,137,87
471,52:42.0,Thread Group 1-95,HTTP Request,260,Success,19902,116,234,171
472,52:42.0,Thread Group 1-94,HTTP Request,237,Success,19902,116,202,139
473,52:42.3,Thread Group 1-96,HTTP Request,177,Success,19902,116,141,97
474,52:42.3,Thread Group 1-95,HTTP Request,382,Success,19902,116,349,87
475,52:42.3,Thread Group 1-94,HTTP Request,404,Success,19902,116,343,91
476,52:42.6,Thread Group 1-95,HTTP Request,178,Success,19906,116,143,92
477,52:42.4,Thread Group 1-96,HTTP Request,399,Success,19902,116,364,101
478,52:42.9,Thread Group 1-97,HTTP Request,185,Success,19902,116,148,97
479,52:43.0,Thread Group 1-97,HTTP Request,162,Success,19902,116,149,91
480,52:42.8,Thread Group 1-96,HTTP Request,388,Success,19902,116,347,81
481,52:43.2,Thread Group 1-97,HTTP Request,345,Success,19902,116,308,262
482,52:43.5,Thread Group 1-98,HTTP Request,174,Success,19906,116,146,97
483,52:43.6,Thread Group 1-97,HTTP Request,177,Success,19902,116,130,85
484,52:43.2,Thread Group 1-96,HTTP Request,550,Success,19902,116,514,244
485,52:43.6,Thread Group 1-98,HTTP Request,192,Success,19902,116,160,109
486,52:43.7,Thread Group 1-97,HTTP Request,182,Success,19902,116,136,88
487,52:43.8,Thread Group 1-96,HTTP Request,192,Success,19902,116,153,95
488,52:43.8,Thread Group 1-98,HTTP Request,203,Success,19902,116,174,114
489,52:44.0,Thread Group 1-98,HTTP Request,173,Success,19902,116,143,87
490,52:44.1,Thread Group 1-99,HTTP Request,200,Success,19902,116,173,117
491,52:44.2,Thread Group 1-98,HTTP Request,215,Success,19902,116,176,97
492,52:44.3,Thread Group 1-99,HTTP Request,216,Success,19902,116,178,126
493,52:44.7,Thread Group 1-100,HTTP Request,165,Success,19902,116,139,85
494,52:44.5,Thread Group 1-99,HTTP Request,505,Success,19902,116,471,215
495,52:44.8,Thread Group 1-100,HTTP Request,415,Success,19906,116,374,108
496,52:45.0,Thread Group 1-99,HTTP Request,396,Success,19902,116,385,115
497,52:45.2,Thread Group 1-100,HTTP Request,195,Success,19902,116,189,124
498,52:45.4,Thread Group 1-100,HTTP Request,136,Success,19906,116,124,81
499,52:45.6,Thread Group 1-100,HTTP Request,169,Success,19902,116,154,97
500,52:45.4,Thread Group 1-99,HTTP Request,368,Success,19902,116,348,87
