Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,500,274,0,1498,140.44,0.000%,8.29696,161.26,0.94,19902.7
TOTAL,500,274,0,1498,140.44,0.000%,8.29696,161.26,0.94,19902.7
